[16/12/2019 07:26:12] {'params': [1.5924830764008195, 94.96795598388884], 'value': 0.9982715556012538, 'time': 0.0703125}
[16/12/2019 07:27:31] {'params': [1.5924830764008195, 94.96795598388884], 'value': 0.9982715556012538, 'time': 0.0703125}
[16/12/2019 07:29:09] {'params': [1.5924830764008195, 94.96795598388884], 'value': 0.9982715556012538, 'time': 0.0703125}
[16/12/2019 07:30:43] {'params': [1.5924830764008195, 94.96795598388884], 'value': 0.9982715556012538, 'time': 0.0703125}
[16/12/2019 07:32:18] {'params': [2.3630556048930718, 94.67244432130579], 'value': 0.9975897145009305, 'time': 0.0546875}
[16/12/2019 07:34:02] {'params': [2.3630556048930718, 94.67244432130579], 'value': 0.9975897145009305, 'time': 0.0546875}
[16/12/2019 07:35:56] {'params': [2.3630556048930718, 94.67244432130579], 'value': 0.9975897145009305, 'time': 0.0546875}
[16/12/2019 07:37:33] {'params': [2.3630556048930718, 94.67244432130579], 'value': 0.9975897145009305, 'time': 0.0546875}
[16/12/2019 07:39:09] {'params': [2.3630556048930718, 94.67244432130579], 'value': 0.9975897145009305, 'time': 0.0546875}
[16/12/2019 07:40:45] {'params': [2.3630556048930718, 94.67244432130579], 'value': 0.9975897145009305, 'time': 0.0546875}
[16/12/2019 07:42:28] {'params': [2.3630556048930718, 94.67244432130579], 'value': 0.9975897145009305, 'time': 0.0546875}
[16/12/2019 07:44:20] {'params': [2.3630556048930718, 94.67244432130579], 'value': 0.9975897145009305, 'time': 0.0546875}
[16/12/2019 07:46:07] {'params': [2.3630556048930718, 94.67244432130579], 'value': 0.9975897145009305, 'time': 0.0546875}
[16/12/2019 07:47:43] {'params': [2.3630556048930718, 94.67244432130579], 'value': 0.9975897145009305, 'time': 0.0546875}
[16/12/2019 07:49:20] {'params': [2.3630556048930718, 94.67244432130579], 'value': 0.9975897145009305, 'time': 0.0546875}
[16/12/2019 07:51:00] {'params': [2.3630556048930718, 94.67244432130579], 'value': 0.9975897145009305, 'time': 0.0546875}
[16/12/2019 07:52:50] {'params': [2.3630556048930718, 94.67244432130579], 'value': 0.9975897145009305, 'time': 0.0546875}
[16/12/2019 07:54:37] {'params': [2.3630556048930718, 94.67244432130579], 'value': 0.9975897145009305, 'time': 0.0546875}
[16/12/2019 07:56:14] {'params': [2.3630556048930718, 94.67244432130579], 'value': 0.9975897145009305, 'time': 0.0546875}
[16/12/2019 07:57:55] {'params': [2.3630556048930718, 94.67244432130579], 'value': 0.9975897145009305, 'time': 0.0546875}
[16/12/2019 07:59:27] {'params': [2.3630556048930718, 94.67244432130579], 'value': 0.9975897145009305, 'time': 0.0546875}
[16/12/2019 08:00:51] {'params': [2.3630556048930718, 94.67244432130579], 'value': 0.9975897145009305, 'time': 0.0546875}
[16/12/2019 08:02:40] {'params': [2.3630556048930718, 94.67244432130579], 'value': 0.9975897145009305, 'time': 0.0546875}
[16/12/2019 08:04:27] {'params': [2.3630556048930718, 94.67244432130579], 'value': 0.9975897145009305, 'time': 0.0546875}
[16/12/2019 08:06:19] {'params': [2.3630556048930718, 94.67244432130579], 'value': 0.9975897145009305, 'time': 0.0546875}
[16/12/2019 08:08:01] {'params': [2.3630556048930718, 94.67244432130579], 'value': 0.9975897145009305, 'time': 0.0546875}
[16/12/2019 08:09:35] {'params': [2.3630556048930718, 94.67244432130579], 'value': 0.9975897145009305, 'time': 0.0546875}
[16/12/2019 08:11:19] {'params': [2.3630556048930718, 94.67244432130579], 'value': 0.9975897145009305, 'time': 0.0546875}
[16/12/2019 08:12:54] {'params': [2.3630556048930718, 94.67244432130579], 'value': 0.9975897145009305, 'time': 0.0546875}
[16/12/2019 08:14:37] {'params': [2.3630556048930718, 94.67244432130579], 'value': 0.9975897145009305, 'time': 0.0546875}
[16/12/2019 08:16:14] {'params': [2.3630556048930718, 94.67244432130579], 'value': 0.9975897145009305, 'time': 0.0546875}
[16/12/2019 08:18:11] {'params': [2.3630556048930718, 94.67244432130579], 'value': 0.9975897145009305, 'time': 0.0546875}
